run	failed_results	classification	detail
baseline/post-seal-prechange-four-red.trx	4	EVIDENCE_RED	Pre-correction baseline: C105 TEST_DRIFT; C116 PRODUCT_DEFECT; C125 OUT_OF_SCOPE; C126 TEST_DRIFT.
runs/initial/post-seal-proof-initial.trx	6	SUPERSEDED_RED	Four shared-residue JobId mismatches, one invalid second-finalizer wait, and one query against the wrong migration-history schema; no product credit.
runs/v2/post-seal-proof-v2.trx	1	SUPERSEDED_RED	Provider-finalize-race hypothesis was false; successor command trace located abort handling after the losing seal call.
runs/current-four-red/post-seal-current-four-red.trx	1	EVIDENCE_RED	Unchanged C116 contract returned Sealed plus PreparationConflict.
runs/current-c116-final-red/current-c116-final-red.trx	1	EVIDENCE_RED	Final characterization rerun of the same C116 contract RED; not a distinct defect.
runs/mutant-discovery/post-seal-mutant-discovery.trx	3	EVIDENCE_RED	Removing post-seal discovery makes packet, retained, and provider-finalized rediscovery assertions fail.
runs/mutant-record-stale/post-seal-mutant-record-stale.trx	4	EVIDENCE_RED	Disabling recovery-aware RecordAsync restores stale-revision failures on retryable, terminal, and host-level paths.
runs/mutant-acquire-contention/post-seal-mutant-acquire-contention.trx	1	EVIDENCE_RED	Rethrowing the known acquire-lost-race conflict stops the losing host.
runs/mutant-c116-exact-recovery/post-seal-mutant-c116-exact-recovery.trx	2	EVIDENCE_RED	Supplying the wrong exact fingerprint restores PreparationConflict in both original and recovery C116 assertions.
runs/mutant-exact-fingerprint-sql/post-seal-mutant-exact-fingerprint-sql.trx	1	EVIDENCE_RED	Removing the SQL fingerprint comparison changes ExactMismatch to Claimed.
runs/mutant-displaced-owner-generation/post-seal-mutant-displaced-owner-generation.trx	1	EVIDENCE_RED	Removing owner/generation enforcement from defer lets a displaced claimant release the successor claim.
runs/mutant-displaced-complete/post-seal-mutant-displaced-complete.trx	1	EVIDENCE_RED	Removing owner/generation enforcement from finalize lets a displaced claimant complete the successor claim.
runs/adjacent-restored/post-seal-adjacent-restored.trx	1	SUPERSEDED_TEST_DRIFT	Legacy durable-work-source test still migrated only to the 20260923 selector and rejected the new Sealer capability; successor test targets the current migration and passes.
runs/adjacent-e2e-restored/post-seal-adjacent-e2e-restored.trx	1	TRANSIENT_FIXTURE_FAILURE	One of two same-Job SDK cases observed a disposed unpooled Npgsql data source; both exact cases pass independently in retained successor runs.
runs/correction-initial/post-seal-correction-initial.trx	14	SUPERSEDED_RED	Initial combined correction run: five ambiguous SQL-name failures, two readiness-drift failures, two timing timeouts, three intermediate C116/fingerprint/selection assertions, one acquire-host observation race, and one expiry-fixture setup failure; all have named successor runs.
runs/correction-a1/post-seal-correction-a1.trx	5	SUPERSEDED_RED	Intermediate correction run: two readiness-drift failures, two repeated C116 failures, and one expiry-fixture deadline-constraint failure; superseded by targeted successors.
runs/correction-a2-targeted/post-seal-correction-a2-targeted.trx	2	SUPERSEDED_RED	Targeted intermediate run retained the expiry-fixture deadline-constraint failure and a C126 expectation drift; both corrected in successors.
runs/c116-debug/c116-debug.trx	1	SUPERSEDED_RED	Diagnostic replay of the known C116 PreparationConflict before the exact committed-recovery correction; no distinct product credit.
runs/c116-debug-v2/c116-debug-v2.trx	1	SUPERSEDED_RED	Second diagnostic replay of the same known C116 PreparationConflict; no distinct product credit.
runs/c116-debug-v3/c116-debug-v3.trx	1	SUPERSEDED_RED	Third diagnostic replay of the same known C116 PreparationConflict; no distinct product credit.
runs/f1-smoke/post-seal-f1-smoke.trx	1	SUPERSEDED_RED	Early F1 smoke reached StateConflict before the recovery SQL shape stabilized.
runs/f1-smoke-v2/post-seal-f1-smoke-v2.trx	1	SUPERSEDED_RED	Early F1 smoke exposed an invalid integer LEAST expression; corrected before the retained restored gate.
runs/f1-smoke-v3/post-seal-f1-smoke-v3.trx	1	SUPERSEDED_RED	Early F1 smoke exposed an ambiguous PL/pgSQL identifier; corrected before the retained restored gate.
runs/migration-a1/post-seal-migration-a1.trx	1	SUPERSEDED_RED	Intermediate migration round failed before the intended trigger assertion because fixture dependencies were not seeded; successor migration proof passes.
runs/supported-modes-a1/post-seal-supported-modes-a1.trx	1	SUPERSEDED_RED	First retained-mode proof lacked the complete raw-export catalogue fixture; successor covers both supported retained modes.
runs/correction2-mutant-runtime/post-seal-correction2-mutant-runtime.trx	2	EVIDENCE_RED	Removing pre-RecordPending exact recovery restores PreparationConflict, and disabling the bounded mixed-queue turn starves recovery behind normal work.
runs/correction2-mutant-sql/post-seal-correction2-mutant-sql.trx	2	EVIDENCE_RED	Removing mandatory NULL rejection and sampling lease time before row locks makes both direct capability and lock-wait proofs fail.
runs/correction2-restored/post-seal-correction2-restored.trx	10	SUPERSEDED_TEST_INTERFERENCE	The combined runtime plus migration filter ran Down/Reapply against the same PostgreSQL fixture while runtime cases were active; separate retained migration and runtime gates supersede this invalid combined schedule.
